,phase,network,critical_TF
0,phase1,Blastomeres,"FOXB1A,FOXD3,FOXD5,HOPX,KLF6A,POU5F3,SI:DKEY-261J4.3,SI:DKEY-43P13.5,SOX11A,SOX13,ZEB1A"
1,phase1,Enveloping_Layer,FOXD3
2,phase1,Primordial_Germ_cells,"FOXB1A,ID3,RARGA,VED,ZNF503"
3,phase2,Ectoderm,"BLF,EVE1,HER7,ID1,MSX1B,OTX1B,TFAP2C,VOX,ZEB1A"
4,phase2,Enveloping_Layer,"BLF,CABZ01070258.1,CEBPD,CTH1,ETV4,FOXA,FOXD3,FOXD5,FOXI1,HER7,ID1,ID3,IRX7,SI:CH73-299H12.3,SI:DKEY-261J4.5,SOX11A,SOX11B,SOX2,TA,TBX16,TCF3B,ZEB1A,ZFP36L1B,ZIC2B,ZIC3,ZNFL2A"
5,phase2,Other_Axial_Mesoderm,"CABZ01070258.1,DRL,HER7,HMGB1A,HOPX,MYT1A,NOTO,SI:DKEY-261J4.3,SOX11B,TWIST2"
6,phase2,Other_Mesendoderm,"CDX4,E2F7,EVE1,FOSAB,FOXA2,HER5,MSGN1,OSR1,OTX1A,SI:DKEY-261J4.3,SOX2,SOX32"
7,phase2,Primordial_Germ_cells,"CDX4,HER3,HER5,HER7,ID2A,ID3,IRX7,MYCN,OTX1B,TA,XBP1,ZEB1A,ZGC:113886"
8,phase3,Ectoderm,"DLX3B,GATA3,HER5,HMGB1A,IRX1B,OLIG3,OTX2,PAX2A,TBX16,XBP1,ZIC2A,ZIC3"
9,phase3,Enveloping_Layer,"ATF3,FOXB1A,GBX1,ID1,ID3,MEIS2B,OTX1A,RARGA,SI:DKEY-228B2.6,SOX19A,VED,ZIC2A,ZIC3,ZNF503,ZNF750,ZNFL2A"
10,phase3,Notochord,"CTH1,FOXA1,FOXA2,GBX1,IRX5A,KLF6A,MIXL1,NOTO,OTX1A,POU5F3,RXRAA,TCF3B,VOX,XBP1"
11,phase3,Other_Mesendoderm,"CABZ01070258.1,DMBX1A,FEZF2,FOXA2,GSC,MEIS3,MYCN,MYF5,NR2F6B,PITX2,PRDM1A,SOX17,TBX1,TFAP2A,TP53,TP63"
12,phase3,Paraxial_Mesoderm,"FOSAB,FOXA,FOXB1A,FOXD3,NEUROG1,NOTO,PRDM1A,SALL4,SOX11A,VED,VOX,XBP1"
13,phase3,Prechordal_Plate,"BACH1B,ETV4,PITX2,SI:DKEY-68O6.5,UNCX4.1"
14,phase3,Primordial_Germ_cells,"DLX3B,ETS2,EVE1,FOXC1A,FOXD3,HER5,HOXB7A,IRX1B,MEIS2B,OTX1A,PAX8,PRDM14,TFAP2A,ZNF503"
15,phase4,Adaxial_Cells,"BLF,HER1,HOXA9B,HOXB10A,JUN,SI:DKEY-261J4.5,SIX4A,TBX16,TCF15,TP53"
16,phase4,Cephalic_Mesoderm,"HEY2,LMX1BB,MSGN1,MSX3,PBX1A,SOX13,VED,VOX"
17,phase4,Diencephalon,"ARXA,DBX1A,DBX1B,EMX3,ENG2B,INSM1B,IRX1B,IRX7,MSX1B,MYT1B,NOTO,OLIG2,OTX1B,PAX3A,PHTF1,SOX1B,TP53,VOX,ZEB1A,ZIC3"
18,phase4,Endoderm_Pancreatic+Intestinal,"ATF3,BLF,CABZ01070258.1,DLX3B,ETV4,FOXA,FOXA3,FOXB1B,FOXD3,GATA6,GBX1,GRHL2B,HER12,HER15.1,HER2,HER3,HER7,HES6,HOXA3A,HOXB6B,HOXD9A,ID2A,IRX1B,JDP2B,MEIS1B,MEIS2B,MSX3,NR2F5,PAX3A,PAX6A,PAX6B,SOX13,SP5A,TA,TCF15,TEAD1B,TFAP2A,ZNF503"
19,phase4,Endoderm_Pharyngeal,"FOXA3,GATA6,GBX1,GSC,HER5,HER6,HER9,HOXB3A,HOXC3A,HOXD4A,ID2A,IRX1B,IRX7,ISL1,JUNBA,MEIS3,MSGN1,MSX3,MYF5,NR2F2,NR2F6B,OTX1B,PITX2,PRDM1A,RXRAA,SNAI1A,SOX13,SOX2,SOX9B,TBX2B,TBX3A,TEAD1B,TFA,TFAP2C,TP63,TWIST1B,ZBTB16A,ZNF503"
20,phase4,Enveloping_Layer,"GRHL2B,HOXB1B,HOXB9A,SIX7,SOX3,TBX16"
21,phase4,Epidermis,"ATF3,CDX4,FOXI3A,MSX3,MYCN,RARGA,TCF3B,TP63,ZBTB16A"
22,phase4,Heart_Primordium,"ETV2,IRX3A,PAX2A"
23,phase4,Hematopoietic_ICM,"CEBPA,ETV4,GATA2A,GBX2,GFI1AA,GSC,HER15.1,HER15.2,HER9,HES6,HOXB3A,HOXC8A,HOXD9A,KLF6A,LBX2,MYCN,PAX8,SI:DKEY-261J4.3,SOX11B,UBTF,XBP1"
24,phase4,Hematopoietic_RBI+Pronephros,"CABZ01070258.1,ETV4,FLI1A,FOXC1A,FOXJ1A,HOXB1A,JUN,LHX1A,MEIS1B,MEIS2B,MEIS3,MSX3,NKX3-1,NR2F6B,OTX2,PAX6A,RARGA,SMAD3A,TA,TFAP2A,TWIST1A,XBP1,ZIC2B,ZIC3,ZNF503"
25,phase4,Hindbrain_R3,"KLF6A,RX3,VOX,ZEB1A,ZFP36"
26,phase4,Hindbrain_R4+5+6,"ATF3,CDX4,DBX1A,DBX2,ETV4,HER13,HER15.2,HER6,HOXB1B,HOXB3A,ID2A,IRX1B,IRX7,MEIS3,MSX3,NR2F2,OLIG3,UBTF,XBP1"
27,phase4,Neural_Plate_Border,"DLX5A,EVE1,HER9,MEIS1B,MSX1B,SOX3"
28,phase4,Notochord,"MEF2D,SOX2,TBX16,ZNFL2A"
29,phase4,Optic_Cup,"CDX4,E2F7,FOXD1,FOXG1A,NR2F2,OTX1A,SIX7,SOX11A,SOX13,SOX1B,TBX2B,ZBTB16A"
30,phase4,Placode_Adeno+Lens+Trigeminal,"DMBX1A,FOXD3,GBX2,GSC,HER15.2,HER5,HEY1,HOPX,KLF2A,MSX3,NR2F6B,PAX6A,PRDM1A,SOX11B,TBX16,TEAD1B,ZIC3"
31,phase4,Placode_Epibranchial+Otic,"CABZ01070258.1,DLX4B,FOSAB,HER2,HOXA3A,JUN,LMX1BB,MYCN,NR2F5,PRDM1A,SIX1B,SOX10,SOX2,SOX21A,SOX3,TBX2B,TCF3B,UBTF,ZNF503,ZNFL2A"
32,phase4,Placode_Olfactory,"E2F7,FOXB1A,FOXG1A,HER3,HOXB1A,HOXC8A,HOXD4A,ISL1,ISL2B,JDP2B,KLF6A,MSX3,NHLH2,NKX2.4B,SIX3A,SOX21A,TFAP2C,ZNF503"
33,phase4,Prechordal_Plate,"DMBX1A,ID2A,MYCN,OTX1A,SOX11A,SOX9B,TCF3B,UBTF,ZBTB16A,ZIC2B"
34,phase4,Primordial_Germ_cells,"CDX4,FOXG1A,HER4.1,HOPX,HOXB1B,HOXC1A,IRX7,MYF5,POU3F1,SALL4,SI:DKEY-68O6.5,SOX21A,TWIST1B"
35,phase4,Somites,"HER15.1,HOXB7A,HOXC10A,ID2A,JDP2B,MYF5,SNAI1A,TBX6L,UBTF,UNCX4.1"
36,phase4,Spinal_Cord,"BHLHE22,CDX4,ENG2B,ETV4,FOXB1A,HER13,HER15.1,HER3,HER9,HOXA3A,HOXC8A,IRX1B,IRX3A,JUN,JUNBA,MEIS1B,MSGN1,MYT1B,NHLH2,NR2F6B,OLIG4,PAX6A,POU3F1,PRDM13,SCRT2,SOX13,SOX3,UBTF,VOX,XBP1,ZIC2A,ZNF503"
37,phase4,Tailbud,"CDX4,HOXA9B,HOXC8A,ID1,MSX1B,MYCN,NEUROG1,NKX1.2LA,NR2F6B,TBX16,TFAP2A,ZIC2B"
38,phase4,Telencephalon,"CDX4,E2F7,HOXC3A,MYT1B,PAX3A,VED"
39,phase4,midbrain+neural_crest,"DMBX1A,EGR2B,ETV4,FOXD3,HES6,ID3,IRX5A,JUNBA,MAFBA,MEIS3,NKX6.2,OTX2,SOX10,SOX11A,SOX9B,ZEB1A"
