phase,network,random_auc,targeted_auc
phase1,Blastomeres,0.5891909393443646,0.03285669572709138
phase1,Enveloping_Layer,0.7449383692661855,0.06269693674801845
phase1,Primordial_Germ_cells,0.7472511129537366,0.09112214602782834
phase2,Ectoderm,0.63271094205013,0.03651153024588909
phase2,Enveloping_Layer,0.6657198765314778,0.04176732948194773
phase2,Other_Axial_Mesoderm,0.6529827203714623,0.03634861420858637
phase2,Other_Mesendoderm,0.6156444613888858,0.0288116324146839
phase2,Primordial_Germ_cells,0.6298951968478465,0.044960127505195804
phase3,Ectoderm,0.6333013789052722,0.037008286786239505
phase3,Enveloping_Layer,0.6059420318024737,0.03143946332636366
phase3,Notochord,0.6062629267923139,0.03154815189844037
phase3,Other_Mesendoderm,0.6416295123393831,0.024084153193620627
phase3,Paraxial_Mesoderm,0.5926665293427652,0.024743481852430124
phase3,Prechordal_Plate,0.5131619440002257,0.02580425626150018
phase3,Primordial_Germ_cells,0.671608019475578,0.0764985879612256
phase4,Adaxial_Cells,0.621349528266365,0.03181322210836285
phase4,Cephalic_Mesoderm,0.7395275217918336,0.13668296537329233
phase4,Diencephalon,0.6341315810759981,0.044032106375712046
phase4,Endoderm_Pancreatic+Intestinal,0.6675924090509677,0.055439549760318424
phase4,Endoderm_Pharyngeal,0.7080607847700897,0.09196386058278079
phase4,Enveloping_Layer,0.7411057191924446,0.06496638710570316
phase4,Epidermis,0.6100695917097654,0.03740947185345736
phase4,Heart_Primordium,0.6989862118239165,0.1115250150668306
phase4,Hematopoietic_ICM,0.6810006905561009,0.06757460879397312
phase4,Hematopoietic_RBI+Pronephros,0.6977606138757125,0.11389560854526956
phase4,Hindbrain_R3,0.721451950074177,0.11742822479092216
phase4,Hindbrain_R4+5+6,0.6379687121277033,0.052729895117459964
phase4,Neural_Plate_Border,0.6708247667057171,0.07309302110878235
phase4,Notochord,0.7034077341689513,0.08277560320415545
phase4,Optic_Cup,0.6883200539963634,0.06146600871486065
phase4,Placode_Adeno+Lens+Trigeminal,0.7191620346436771,0.11009396787235032
phase4,Placode_Epibranchial+Otic,0.6605230695762772,0.0591669116811499
phase4,Placode_Olfactory,0.7084031963469111,0.12340349012325827
phase4,Prechordal_Plate,0.5434484300627729,0.03392083026218573
phase4,Primordial_Germ_cells,0.7509271017362158,0.11823445024679588
phase4,Somites,0.702980045735097,0.09242154631366115
phase4,Spinal_Cord,0.6261386854548375,0.04927001141691593
phase4,Tailbud,0.6159767824158513,0.03353276877035261
phase4,Telencephalon,0.6849550476611822,0.09861964970451002
phase4,midbrain+neural_crest,0.6072851235429587,0.05703433633339458
